,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
124,Chosen (feat. Ty Dolla $ign),No Love Lost (Deluxe),Blxst,2020-12-04,161684,83,0.571,0.336,0.767,0.0,0.0809,-5.16,0.287,93.421,4
125,Butter,"Butter (Hotter, Sweeter, Cooler)",BTS,2021-06-04,164441,96,0.759,0.00323,0.459,0.0,0.0906,-5.187,0.0948,109.997,4
126,Closer,Closer,The Chainsmokers,2016-07-29,244960,84,0.748,0.414,0.524,0.0,0.111,-5.599,0.0338,95.01,4
127,Santa Claus Is Coming To Town,Kid Friendly Christmas,Various Artists,2021-08-06,216720,0,0.639,0.027,0.836,0.0,0.283,-4.878,0.048,104.998,4
128,CORSO,CALL ME IF YOU GET LOST,"Tyler, The Creator",2021-06-25,146481,77,0.703,0.169,0.845,0.0,0.122,-4.851,0.337,97.672,4
129,Santa Claus Is Coming To Town,Christmas Songs For Kids,Various Artists,2021-08-06,216720,0,0.639,0.027,0.836,0.0,0.283,-4.878,0.048,104.998,4
130,Castle On the Hill,We Are Young - 10's Best,Various Artists,2021-08-06,261153,0,0.461,0.0231,0.834,1.16e-05,0.14,-4.868,0.0991,135.007,4
131,Santa Claus Is Coming To Town,Kids Pop Christmas,Various Artists,2021-08-06,216720,0,0.639,0.027,0.836,0.0,0.283,-4.878,0.048,104.998,4
132,Chicago Freestyle (feat. Giveon),Dark Lane Demo Tapes,Drake,2020-05-01,220487,79,0.735,0.629,0.449,0.0,0.113,-7.507,0.347,122.947,4
133,You Right,Planet Her,Doja Cat,2021-06-25,186173,89,0.828,0.0164,0.621,0.00233,0.0845,-6.414,0.0565,128.986,4
134,Counting Stars,Native,OneRepublic,2014-01-01,257839,74,0.664,0.0654,0.705,0.0,0.115,-4.972,0.0382,122.017,4
135,Tell Em,Tell Em,Cochise,2021-05-28,180379,85,0.672,0.103,0.717,0.0,0.398,-7.476,0.226,157.905,4
136,Can I Call You Tonight?,Fuzzybrain,Dayglow,2019-11-14,278769,79,0.641,0.132,0.842,0.91,0.419,-7.27,0.0292,129.98,4
137,Cover Me Up,Dangerous: The Double Album,Morgan Wallen,2021-01-08,293706,74,0.549,0.232,0.44,7.37e-06,0.107,-8.192,0.0264,128.01,3
138,Halley's Comet,Happier Than Ever,Billie Eilish,2021-07-30,234761,80,0.403,0.961,0.159,0.0121,0.34,-16.728,0.104,72.38,4
139,Cry Baby (feat. DaBaby),Good News,Megan Thee Stallion,2020-11-20,137983,76,0.957,0.00402,0.437,0.0,0.219,-7.882,0.359,130.058,4
140,Laugh Now Cry Later (feat. Lil Durk),Laugh Now Cry Later (feat. Lil Durk),Drake,2020-08-14,261492,83,0.761,0.244,0.518,3.47e-05,0.107,-8.871,0.134,133.976,4
141,Chanel,Chanel,Frank Ocean,2017-03-10,210285,78,0.776,0.874,0.503,0.0,0.112,-5.732,0.237,110.134,4
142,Lost Cause,Happier Than Ever,Billie Eilish,2021-07-30,212496,80,0.526,0.702,0.334,0.00782,0.0586,-8.491,0.251,74.966,4
143,Cruise,Here's To The Good Times,Florida Georgia Line,2012-01-01,208960,74,0.457,0.0191,0.948,0.0,0.0536,-3.364,0.0354,148.0,4
144,WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),CALL ME IF YOU GET LOST,"Tyler, The Creator",2021-06-25,121572,85,0.493,0.269,0.653,0.0,0.511,-5.666,0.0466,142.347,4
145,Can't Hold Us - feat. Ray Dalton,The Heist,Macklemore & Ryan Lewis,2012-10-09,258342,83,0.641,0.0291,0.922,0.0,0.0862,-4.457,0.0786,146.078,4
146,I Didn't Change My Number,Happier Than Ever,Billie Eilish,2021-07-30,158463,81,0.849,0.612,0.48,0.269,0.295,-5.835,0.226,142.021,4
147,Callaita,Callaita,Bad Bunny,2019-05-31,250533,81,0.61,0.6,0.624,2.12e-06,0.243,-4.773,0.309,176.169,4
148,Freaks,Freaks,Surf Curse,2021-05-15,147062,88,0.345,3.84e-05,0.941,0.633,0.0511,-9.918,0.0466,179.626,4
149,Caroline,Good For You,Aminé,2017-07-28,209640,77,0.94,0.17,0.335,0.0,0.262,-10.179,0.505,120.04,4
150,deja vu,SOUR,Olivia Rodrigo,2021-05-21,215506,94,0.442,0.584,0.612,5.7e-06,0.37,-7.222,0.112,180.917,4
151,Dick (feat. Doja Cat),Dick (feat. Doja Cat),StarBoi3,2021-04-23,175238,84,0.647,0.13,0.608,0.0,0.0584,-6.831,0.42,125.994,4
152,drivers license,SOUR,Olivia Rodrigo,2021-05-21,242013,92,0.561,0.768,0.431,1.42e-05,0.106,-8.81,0.0578,143.875,4
153,Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,2021-03-19,198081,95,0.677,0.321,0.696,0.0,0.42,-6.181,0.119,90.03,4
154,Dance Monkey,Dance Monkey (Stripped Back) / Dance Monkey,Tones And I,2019-10-17,209438,83,0.824,0.692,0.588,0.000104,0.149,-6.4,0.0924,98.027,4
155,Dreams - 2004 Remaster,Rumours (Super Deluxe),Fleetwood Mac,1977-02-04,257800,84,0.828,0.0644,0.492,0.00428,0.128,-9.744,0.0276,120.151,4
156,Permission to Dance,Butter / Permission to Dance,BTS,2021-07-09,187585,95,0.702,0.00544,0.741,0.0,0.337,-5.33,0.0427,124.925,4
157,DÁKITI,DÁKITI,Bad Bunny,2020-10-30,205090,85,0.731,0.401,0.573,5.22e-05,0.113,-10.059,0.0544,109.928,4
158,Daddy Issues,Wiped Out!,The Neighbourhood,2015-10-30,260173,85,0.588,0.0678,0.521,0.149,0.123,-9.461,0.0329,85.012,4
159,Dicked Down in Dallas,Dicked Down in Dallas,Trey Lewis,2020-12-01,201350,71,0.51,0.0608,0.929,5.39e-06,0.101,-4.685,0.0456,122.036,4
160,Drummer Boy,Christmas Songs For Kids,Various Artists,2021-08-06,225333,0,0.752,0.025,0.85,0.000131,0.149,-8.327,0.0819,122.991,4
161,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,2021-04-09,208866,95,0.762,0.235,0.701,0.000158,0.123,-3.541,0.0286,110.968,4
162,Dinero,Dinero,Trinidad Cardona,2018-02-02,160880,88,0.708,0.00772,0.782,0.0,0.107,-4.687,0.0674,119.997,4
163,Drip Too Hard (Lil Baby & Gunna),Drip Harder,Lil Baby,2018-10-05,145542,80,0.897,0.0852,0.662,0.0,0.534,-6.903,0.292,112.511,4
164,Levitating (feat. DaBaby),Levitating (feat. DaBaby),Dua Lipa,2020-10-01,203064,89,0.702,0.00883,0.825,0.0,0.0674,-3.787,0.0601,102.977,4
165,Dynamite,BE,BTS,2020-11-20,199053,89,0.746,0.0112,0.765,0.0,0.0936,-4.41,0.0993,114.044,4
166,Leave The Door Open,Leave The Door Open,Bruno Mars,2021-03-05,242096,92,0.586,0.182,0.616,0.0,0.0927,-7.964,0.0324,148.088,4
167,"Dear Maria, Count Me In","So Wrong, It's Right",All Time Low,2007-09-25,182826,78,0.459,0.00725,0.895,0.0,0.206,-3.126,0.0805,181.04,4
168,death bed (coffee for your head),death bed (coffee for your head),Powfu,2020-02-08,173333,85,0.726,0.731,0.431,0.0,0.696,-8.765,0.135,144.026,4
169,Todo De Ti,Todo De Ti,Rauw Alejandro,2021-05-20,199604,95,0.78,0.31,0.718,0.000163,0.0932,-3.605,0.0506,127.949,4
